representative,party,twitter
Joakim Strand,Ruotsalainen eduskuntaryhmä,@Jocke_Strand
Iiris Suomela,Vihreä eduskuntaryhmä,@iiris_suomela
Hussein al-Taee,Sosialidemokraattinen eduskuntaryhmä,FAILED TO PARSE
Katja Taimela,Sosialidemokraattinen eduskuntaryhmä,FAILED TO PARSE
Mari-Leena Talvitie,Kansallisen kokoomuksen eduskuntaryhmä,@marileenat
Sari Tanus,Kristillisdemokraattinen eduskuntaryhmä,@saritanus
Ville Tavio,Perussuomalaisten eduskuntaryhmä,@VilleTavio
Kari Tolvanen,Kansallisen kokoomuksen eduskuntaryhmä,@KariTolvanen3
Ari Torniainen,Keskustan eduskuntaryhmä,@TorniainenAri
Erkki Tuomioja,Sosialidemokraattinen eduskuntaryhmä,@TuomiojaErkki
Tytti Tuppurainen,Sosialidemokraattinen eduskuntaryhmä,@TyttiTup
Ano Turtiainen,Eduskuntaryhmä Valta kuuluu kansalle,@TurtiainenAno
Sebastian Tynkkynen,Perussuomalaisten eduskuntaryhmä,@SebastianTyne
Veikko Vallin,Perussuomalaisten eduskuntaryhmä,@MailVeikko
Sinuhe Wallinheimo,Kansallisen kokoomuksen eduskuntaryhmä,@swheimo
Elina Valtonen,Kansallisen kokoomuksen eduskuntaryhmä,@elinavaltonen
Matti Vanhanen,Keskustan eduskuntaryhmä,@VanhanenMatti
Anu Vehviläinen,Keskustan eduskuntaryhmä,@AnuVehvilainen
Paula Werning,Sosialidemokraattinen eduskuntaryhmä,FAILED TO PARSE
Heikki Vestman,Kansallisen kokoomuksen eduskuntaryhmä,FAILED TO PARSE
Jussi Wihonen,Perussuomalaisten eduskuntaryhmä,@jussiwihonen
Pia Viitanen,Sosialidemokraattinen eduskuntaryhmä,@PiaViitanenSDP
Sofia Vikman,Kansallisen kokoomuksen eduskuntaryhmä,@SofiaVikman
Heidi Viljanen,Sosialidemokraattinen eduskuntaryhmä,@ViljanenHeidi
Anne-Mari Virolainen,Kansallisen kokoomuksen eduskuntaryhmä,@AMVirolainen
Sofia Virta,Vihreä eduskuntaryhmä,@VirtaSofia
Ville Vähämäki,Perussuomalaisten eduskuntaryhmä,@Vahamaki
Tuula Väätäinen,Sosialidemokraattinen eduskuntaryhmä,@tuula_anneli_
Johannes Yrttiaho,Vasemmistoliiton eduskuntaryhmä,FAILED TO PARSE
Ben Zyskowicz,Kansallisen kokoomuksen eduskuntaryhmä,FAILED TO PARSE
Peter Östman,Kristillisdemokraattinen eduskuntaryhmä,@pjostman
